MSOA code,MSOA name,housing_market_system,score_rural_lifestyle,score_urban_working,score_retirement_amenity,affordability_ratio,coastal_inland,rural_urban,pct_65_plus,detached_ratio,terraced_ratio,flat_ratio
E02004243,Alderholt & Sixpenny Handley,rural_lifestyle,10.0,1.0,1.0,12.644784911217467,Inland,Rural,28.103767757875232,14.839568406445585,7.95786015689162,
E02004244,East Verwood,rural_lifestyle,4.0,3.0,0.0,11.044716943728584,Inland,Urban,28.56581017304667,12.743904165840672,7.646342499504404,
E02004245,West Verwood,rural_lifestyle,4.0,2.0,2.0,11.837670980714226,Inland,Urban,27.49105774144098,13.381099374132706,8.283537707796437,5.380759536688284
E02004246,St Leonards,retirement_amenity,11.0,0.0,8.0,19.15833592931381,Inland,Rural,39.54517516902274,19.68225198946504,,
E02004247,Sturminster Marshall & Crichel,rural_lifestyle,11.0,0.0,3.0,15.859080739712835,Inland,Rural,29.95215311004785,17.98306476735295,11.469513749256606,
E02004248,West Moors,urban_working_coastal,3.0,4.0,2.0,10.832318540964572,Inland,Urban,43.87543252595156,12.460706295488658,9.345529721616494,4.17716858769222
E02004249,Colehill,rural_lifestyle,6.0,2.0,1.0,14.01829458242474,Inland,Urban,27.89537345025703,16.637874883180878,9.203930786440486,
E02004250,Ferndown Town,rural_lifestyle,5.0,2.0,4.0,10.97391747614058,Inland,Urban,38.64419762543087,14.867888193480786,8.071139305032426,6.2728328282971315
E02004251,Ferndown West & Canford Bottom,rural_lifestyle,5.0,2.0,2.0,10.761519073376569,Inland,Urban,32.39106668749024,13.027102036192687,8.892413129053269,
E02004252,Wimborne Minster,urban_working_coastal,2.0,4.0,2.0,9.565008071139305,Inland,Urban,26.95829094608342,14.159893517600748,9.203930786440486,6.159553680156325
E02004253,Parley & Hampreston,rural_lifestyle,5.0,2.0,5.0,13.45189884172071,Inland,Urban,38.390896386504295,14.79708872589278,10.166803545637336,7.079946758800374
E02004254,Corfe Mullen,rural_lifestyle,4.0,2.0,2.0,11.044716943728584,Inland,Urban,25.201197828935054,14.867888193480786,9.062331851264478,5.734756874628303
E02004255,Gillingham,urban_working_coastal,1.0,7.0,2.0,6.938347823624366,Inland,Urban,30.065104166666668,11.115516411316587,6.371952082920337,3.1718161479425673
E02004256,"Gillingham Outer, Bourton & Motcombe",rural_lifestyle,3.0,3.0,2.0,9.203930786440486,Inland,Rural,28.811777076761302,12.786383846393475,7.078530769448614,5.557758205658294
E02004257,Shaftesbury,urban_working_coastal,3.0,5.0,0.0,7.292345161564385,Inland,Rural,24.518053040792417,10.761519073376569,6.513551018096344,4.247968055280224
E02004258,Sturminster Newton & Stalbridge,urban_working_coastal,4.0,5.0,2.0,8.963212596641274,Inland,Rural,32.74116347569956,10.832318540964572,7.363144629152389,3.5116535923649854
E02004259,Child Okeford & Iwerne Minster,rural_lifestyle,11.0,0.0,3.0,12.007589702925436,Inland,Rural,33.02101078932425,16.567075415592875,8.920732916088472,
E02004260,Blandford Outer & Tarrants,rural_lifestyle,8.0,0.0,0.0,11.611112684432612,Inland,Rural,22.17087697679195,13.027102036192687,8.920732916088472,
E02004261,Blandford Forum Town,urban_working_coastal,0.0,7.0,0.0,7.363144629152389,Inland,Urban,25.4991011448576,11.327914814080598,6.980827504177169,3.688652261334995
E02004262,"Milborne, Winterborne & Okeford Fitzpaine",rural_lifestyle,11.0,1.0,2.0,11.54031321684461,Inland,Rural,30.59268600252207,13.876695647248733,7.717141967092408,
E02004263,Bere Regis & Lytchett Matravers,rural_lifestyle,8.0,3.0,0.0,11.75271161960862,Inland,Rural,28.50106714825152,14.867888193480786,7.787941434680411,4.814363795984254
E02004264,Upton & Lytchett Minster,urban_working_coastal,0.0,8.0,4.0,9.501288550310102,Coastal,Urban,25.579271772628697,12.035909489960636,8.375577015660843,5.805556342216306
E02004265,"Wareham, Sandford & Holton Heath",rural_lifestyle,8.0,2.0,6.0,10.42168162895415,Coastal,Rural,32.73740422567913,13.45189884172071,8.779133980912464,6.088754212568322
E02004266,"Bovington, Wool & Lulworth",rural_lifestyle,5.0,2.0,2.0,9.770326527144515,Coastal,Rural,21.506941334527543,12.460706295488658,8.212738240208434,
E02004267,Corfe Castle & Langton Matravers,retirement_amenity,11.0,0.0,12.0,13.310299906544705,Coastal,Rural,37.06896551724138,19.257455183937015,11.044716943728584,
