Local authority code,Local authority name,MSOA code,MSOA name,"Table 1a - Median price paid by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 1b - Median price paid for detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 1c - Median price paid for semi-detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 1d - Median price paid for terraced houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 1e - Median price paid for flats/maisonettes by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 2a - Median price paid (newly built dwellings) by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 2b - Median price paid (newly built dwellings) for detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 2c - Median price paid (newly built dwellings) for semi-detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 2d - Median price paid (newly built dwellings) for terraced houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 2e - Median price paid (newly built dwellings) for flats/maisonettes by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 3a - Median price paid (existing dwellings) by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 3b - Median price paid (existing dwellings) for detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 3c - Median price paid (existing dwellings) for semi-detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 3d - Median price paid (existing dwellings) for terraced houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 3e - Median price paid (existing dwellings) for flats/maisonettes by MSOA, England and Wales, year ending December 1995 to year ending September 2025"
E06000059,Dorset,E02004243,Alderholt & Sixpenny Handley,12.644784911217467,14.839568406445583,9.975644983149726,7.95786015689162,,,,,,,12.644784911217467,14.839568406445583,9.975644983149726,7.95786015689162,
E06000059,Dorset,E02004244,East Verwood,11.044716943728583,12.743904165840673,9.133131318852483,7.646342499504404,,,,,,,11.044716943728583,12.743904165840673,9.133131318852483,7.646342499504404,
E06000059,Dorset,E02004245,West Verwood,11.894310554784628,13.593497776896717,9.911925462320523,8.283537707796437,5.380759536688284,,,,,,11.837670980714226,13.381099374132706,9.911925462320523,8.283537707796437,5.380759536688284
E06000059,Dorset,E02004246,St Leonards,19.15833592931381,19.68225198946504,11.129676304834188,,,,,,,,19.15833592931381,19.68225198946504,11.129676304834188,,
E06000059,Dorset,E02004247,Sturminster Marshall & Crichel,15.859080739712837,17.98306476735295,15.434283934184815,11.469513749256606,,,,,,,15.859080739712837,17.98306476735295,15.434283934184815,11.469513749256606,
E06000059,Dorset,E02004248,West Moors,10.832318540964572,12.460706295488658,9.911925462320523,9.345529721616494,4.17716858769222,,,,,,10.832318540964572,12.460706295488658,9.911925462320523,9.345529721616494,4.17716858769222
E06000059,Dorset,E02004249,Colehill,13.350712242643935,16.567075415592875,11.611112684432612,9.203930786440486,,12.49610602928266,15.92988020730084,11.781031406643821,,,14.01829458242474,16.637874883180878,11.257115346492593,9.203930786440486,
E06000059,Dorset,E02004250,Ferndown Town,10.97391747614058,14.867888193480786,9.203930786440486,8.071139305032426,6.2728328282971315,,,,,,10.97391747614058,14.867888193480786,9.203930786440486,8.071139305032426,6.2728328282971315
E06000059,Dorset,E02004251,Ferndown West & Canford Bottom,10.761519073376569,13.027102036192687,10.167511540313217,8.892413129053269,,,,,,,10.761519073376569,13.027102036192687,10.167511540313217,8.892413129053269,
E06000059,Dorset,E02004252,Wimborne Minster,10.478321203024553,14.230692985188751,10.195123332672539,10.195123332672539,6.683469740307553,15.292684999008808,,,15.71748180453683,14.58469032312877,9.565008071139305,14.159893517600748,10.02520461046133,9.203930786440486,6.159553680156325
E06000059,Dorset,E02004253,Parley & Hampreston,13.027102036192687,14.867888193480786,11.099629010789839,10.209226586616069,7.079946758800374,11.044575344793406,,11.072102177791622,10.350825521792077,,13.45189884172071,14.797088725892781,11.75271161960862,10.166803545637336,7.079946758800374
